"Ref","Crop","Croptype","YieldType","MeanCropYield","BC_AppRate","Inorg_N_AppRate","pH_soil","CEC","SOC","Sand","Silt","Clay","Texture","Feedstock","HTT","BC_percentC","pH_BC","Year","lat","lon","RR","YieldRatio","RelativeYieldIncrease","pot.trial"
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,5,0,5.8,2.04,5,"NA","NA","NA","Light","Nonwood","NA",0.452,"NA",1,-40.35,175.61,-0.633,0.531,-0.469,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,10,0,5.8,2.04,5,"NA","NA","NA","Light","Nonwood","NA",0.452,"NA",1,-40.35,175.61,-0.633,0.531,-0.469,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,10,0,5.8,2.04,5,"NA","NA","NA","Light","Manure","NA",0.261,"NA",1,-40.35,175.61,-0.629,0.533,-0.467,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,1.5,113,5.8,2.04,5,"NA","NA","NA","Light","Nonwood","NA",0.452,"NA",1,-40.35,175.61,0.145,1.156,0.156,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,1.5,113,5.8,2.04,5,"NA","NA","NA","Light","Manure","NA",0.261,"NA",1,-40.35,175.61,0.36,1.433,0.433,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,5,113,5.8,2.04,5,"NA","NA","NA","Light","Manure","NA",0.261,"NA",1,-40.35,175.61,0.531,1.7,0.7,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,5,113,5.8,2.04,5,"NA","NA","NA","Light","Nonwood","NA",0.452,"NA",1,-40.35,175.61,0.542,1.719,0.719,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,10,113,5.8,2.04,5,"NA","NA","NA","Light","Manure","NA",0.261,"NA",1,-40.35,175.61,0.693,2,1,1
"(Wisnubroto et al. 2011)","Ryegrass","grass","Biomass",,10,113,5.8,2.04,5,"NA","NA","NA","Light","Nonwood","NA",0.452,"NA",1,-40.35,175.61,0.838,2.312,1.312,1
"(Xie et al. 2013)","Rice","cereal","Grain",4.5,12,0,7.6,"NA",18.3,0.578,0.286,0.136,,"Nonwood",400,0.632,10.2,1,32.5,119.75,-0.47,0.625,-0.375,1
"(Xie et al. 2013)","Rice","cereal","Biomass",4.5,12,0,7.6,"NA",18.3,0.578,0.286,0.136,,"Nonwood",400,0.632,10.2,1,32.5,119.75,-0.369,0.691,-0.309,1
"(Xie et al. 2013)","Rice","cereal","Grain",4.5,12,250,7.6,"NA",18.3,0.578,0.286,0.136,,"Nonwood",400,0.667,"NA",1,32.5,119.75,-0.248,0.78,-0.22,1
"(Xie et al. 2013)","Rice","cereal","Grain",4.5,12,0,4.4,"NA",6.35,0.373,0.347,0.289,,"Nonwood",400,0.632,10.2,1,28.25,117,-0.13,0.878,-0.122,1
"(Xie et al. 2013)","Rice","cereal","Biomass",4.5,12,0,4.4,"NA",6.35,0.373,0.347,0.289,,"Nonwood",400,0.632,10.2,1,28.25,117,-0.08,0.923,-0.077,1
"(Xie et al. 2013)","Rice","cereal","Biomass",4.5,12,250,7.6,"NA",18.3,0.578,0.286,0.136,,"Nonwood",400,0.667,"NA",1,32.5,119.75,0.021,1.021,0.021,1
"(Xie et al. 2013)","Rice","cereal","Biomass",4.5,12,250,4.4,"NA",6.35,0.373,0.347,0.289,,"Nonwood",400,0.667,"NA",1,28.25,117,0.041,1.042,0.042,1
"(Xie et al. 2013)","Rice","cereal","Grain",4.5,12,250,4.4,"NA",6.35,0.373,0.347,0.289,,"Nonwood",400,0.667,"NA",1,28.25,117,0.154,1.167,0.167,1
"(Yamato et al. 2006) ","Maize","cereal","Biomass",5.5,40,75,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,-0.049,0.952,-0.048,0
"(Yamato et al. 2006) ","Cowpea","legume","Biomass",,40,75,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.091,1.096,0.096,0
"(Yamato et al. 2006) ","Peanut","legume","Biomass",,40,75,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.112,1.119,0.119,0
"(Yamato et al. 2006) ","Cowpea","legume","Biomass",,40,75,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.123,1.131,0.131,0
"(Yamato et al. 2006) ","Maize","cereal","Biomass",5.5,37,0,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.222,1.249,0.249,0
"(Yamato et al. 2006) ","Peanut","legume","Biomass",,40,75,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.31,1.364,0.364,0
"(Yamato et al. 2006) ","Maize","cereal","Biomass",5.5,37,500,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.384,1.469,0.469,0
"(Yamato et al. 2006) ","Maize","cereal","Biomass",5.5,40,75,"NA","NA","NA","NA","NA","NA","Medium","Wood",310,"NA","NA",1,-2.75,104.25,0.679,1.972,0.972,0
"(Yeboah et al. 2009)","Maize","cereal","Biomass",5.5,3,120,4.22,"NA",9.7,0.3064,0.5329,0.1607,"Medium","Wood","NA",0.388,"NA",1,6.75,-1.5,-0.062,0.94,-0.06,1
"(Yeboah et al. 2009)","Maize","cereal","Biomass",5.5,3,0,4.22,"NA",9.7,0.3064,0.5329,0.1607,"Medium","Wood","NA",0.388,"NA",1,6.75,-1.5,-0.042,0.959,-0.041,1
"(Yeboah et al. 2009)","Maize","cereal","Biomass",5.5,3,"NA",5.64,"NA",15.6,0.6,0.3661,0.0338,"Light","Wood","NA",0.388,"NA",1,6.75,-1.5,0,1,0,1
"(Yeboah et al. 2009)","Maize","cereal","Biomass",5.5,3,0,5.64,"NA",15.6,0.6,0.3661,0.0338,"Light","Wood","NA",0.388,"NA",1,6.75,-1.5,0.022,1.022,0.022,1
"(Yeboah et al. 2009)","Maize","cereal","Biomass",5.5,3,"NA",4.22,"NA",9.7,0.3064,0.5329,0.1607,"Medium","Wood","NA",0.388,"NA",1,6.75,-1.5,0.049,1.051,0.051,1
"(Yeboah et al. 2009)","Maize","cereal","Biomass",5.5,3,120,5.64,"NA",15.6,0.6,0.3661,0.0338,"Light","Wood","NA",0.388,"NA",1,6.75,-1.5,0.086,1.09,0.09,1
"(Zhang et al. 2010)","Rice","cereal","Grain",4.5,10,300,6.53,"NA",23.2,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.084,1.088,0.088,0
"(Zhang et al. 2010)","Rice","cereal","Grain",4.5,10,300,6.48,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.11,1.116,0.116,0
"(Zhang et al. 2010)","Rice","cereal","Grain",4.5,40,300,6.53,"NA",23.2,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.114,1.121,0.121,0
"(Zhang et al. 2010)","Rice","cereal","Grain",4.5,40,300,6.48,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.131,1.14,0.14,0
"(Zhang, Bian, et al. 2012)","Rice","cereal","Grain",4.5,10,300,6.5,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.088,1.092,0.092,0
"(Zhang, Bian, et al. 2012)","Rice","cereal","Grain",4.5,20,300,6.5,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,2,31.5,119.75,0.088,1.092,0.092,0
"(Zhang, Bian, et al. 2012)","Rice","cereal","Grain",4.5,20,300,6.5,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.1,1.105,0.105,0
"(Zhang, Bian, et al. 2012)","Rice","cereal","Grain",4.5,40,300,6.5,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,1,31.5,119.75,0.112,1.118,0.118,0
"(Zhang, Bian, et al. 2012)","Rice","cereal","Grain",4.5,40,300,6.5,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,2,31.5,119.75,0.202,1.224,0.224,0
"(Zhang, Bian, et al. 2012)","Rice","cereal","Grain",4.5,10,300,6.5,"NA",23.5,"NA","NA",0.39,"Medium","Nonwood",450,0.467,10.4,2,31.5,119.75,0.244,1.276,0.276,0
"(Zhang, Liu, et al. 2012)","Maize","cereal","Grain",5.5,40,0,8.38,"NA",9.87,"NA","NA","NA","Medium","Nonwood",450,0.467,10.4,1,34.5,115.5,0.071,1.073,0.073,0
"(Zhang, Liu, et al. 2012)","Maize","cereal","Grain",5.5,40,300,8.38,"NA",9.87,"NA","NA","NA","Medium","Nonwood",450,0.467,10.4,1,34.5,115.5,0.11,1.116,0.116,0
"(Zhang, Liu, et al. 2012)","Maize","cereal","Grain",5.5,20,0,8.38,"NA",9.87,"NA","NA","NA","Medium","Nonwood",450,0.467,10.4,1,34.5,115.5,0.146,1.158,0.158,0
"(Zhang, Liu, et al. 2012)","Maize","cereal","Grain",5.5,20,300,8.38,"NA",9.87,"NA","NA","NA","Medium","Nonwood",450,0.467,10.4,1,34.5,115.5,0.167,1.182,0.182,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,10,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0,1,0,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,10,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.072,1.075,0.075,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,20,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.118,1.125,0.125,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,10,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.128,1.136,0.136,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,10,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.141,1.152,0.152,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,20,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.157,1.17,0.17,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,20,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.172,1.187,0.187,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,10,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.182,1.2,0.2,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,10,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.21,1.234,0.234,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,20,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.241,1.273,0.273,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,20,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.262,1.3,0.3,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,20,"NA","NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.276,1.318,0.318,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,10,0,"NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.278,1.32,0.32,0
"Biochar Fund (2010)","Maize","cereal","Biomass",5.5,20,0,"NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.278,1.32,0.32,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,10,0,"NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.386,1.471,0.471,0
"Biochar Fund (2010)","Maize","cereal","Grain",5.5,20,0,"NA","NA","NA","NA","NA","NA",,"Wood",550,"NA","NA",1,4.6,9.5,0.386,1.471,0.471,0
"Sønderberg , (2013)","Maize","cereal","Grain",5.5,50,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,"NA","NA",-0.159,0.853,-0.147,1
"Sønderberg , (2013)","Maize","cereal","Grain",5.5,50,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,"NA","NA",0.08,1.083,0.083,1
"Sønderberg , (2013)","Maize","cereal","Grain",5.5,50,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,"NA","NA",0.463,1.588,0.588,1
"Sønderberg , (2013)","Maize","cereal","Grain",5.5,50,"NA","NA","NA","NA","NA","NA","NA",,"Wood","NA","NA","NA",1,"NA","NA",0.583,1.791,0.791,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,9.545628102,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.288,1.333,0.333,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,9.545628102,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.302,1.353,0.353,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,9.545628102,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.31,1.363,0.363,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,9.545628102,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.323,1.381,0.381,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,19.091256204,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.333,1.395,0.395,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,19.091256204,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.345,1.413,0.413,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,28.636884306,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.353,1.424,0.424,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,19.091256204,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.358,1.43,0.43,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,28.636884306,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.358,1.43,0.43,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,19.091256204,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.363,1.438,0.438,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,28.636884306,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.368,1.446,0.446,1
"Suppadit et al. (2012)","Jatropha","fruit","Grain",,28.636884306,0,6.9,0.98,1.31,"NA","NA","NA","Medium","Manure",500,0.328,9.1,1,16.5,98.5,0.379,1.462,0.462,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",500,0.826,7.77,1,-43.63,172.5,-0.62,0.538,-0.462,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.758,7.77,1,-43.63,172.5,-0.415,0.66,-0.34,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",350,0.772,7.77,1,-43.63,172.5,-0.319,0.727,-0.273,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.622,7.77,1,-43.63,172.5,-0.281,0.755,-0.245,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",500,0.826,5.15,1,-43.63,172.5,-0.259,0.772,-0.228,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.758,5.15,1,-43.63,172.5,-0.215,0.807,-0.193,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.622,5.15,1,-43.63,172.5,0.084,1.088,0.088,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",350,0.772,5.15,1,-43.63,172.5,0.131,1.14,0.14,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",500,0.826,6.64,1,-43.63,172.5,0.665,1.944,0.944,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.758,6.64,1,-43.63,172.5,0.669,1.953,0.953,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",500,0.826,5.97,1,-43.63,172.5,0.684,1.982,0.982,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.622,6.64,1,-43.63,172.5,0.766,2.151,1.151,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",350,0.772,6.64,1,-43.63,172.5,0.779,2.18,1.18,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",350,0.772,5.97,1,-43.63,172.5,0.87,2.386,1.386,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.758,5.97,1,-43.63,172.5,0.927,2.527,1.527,1
"Taghizadeh-Toosi et al, (2011)(a)","Ryegrass","grass","Biomass",,"NA","NA",5.5,14,"NA","NA","NA","NA",,"Wood",300,0.622,5.97,1,-43.63,172.5,1.116,3.053,2.053,1
"Taghizadeh-Toosi et al, (2011)(b)","Ryegrass","grass","Biomass",,30,"NA",5.5,14,"NA","NA","NA","NA",,"Wood","NA",0.772,7.8,1,-43.63,172.5,-0.208,0.812,-0.188,0
"Taghizadeh-Toosi et al, (2011)(b)","Ryegrass","grass","Biomass",,15,"NA",5.5,14,"NA","NA","NA","NA",,"Wood","NA",0.772,7.8,1,-43.63,172.5,-0.191,0.826,-0.174,0
"Taghizadeh-Toosi et al, (2011)(b)","Ryegrass","grass","Biomass",,30,"NA",5.5,14,"NA","NA","NA","NA",,"Wood","NA",0.772,7.8,1,-43.63,172.5,-0.104,0.901,-0.099,0
"Taghizadeh-Toosi et al, (2011)(b)","Ryegrass","grass","Biomass",,15,"NA",5.5,14,"NA","NA","NA","NA",,"Wood","NA",0.772,7.8,1,-43.63,172.5,0,1,0,0
"Taghizadeh-Toosi et al, (2011)(b)","Ryegrass","grass","Biomass",,15,"NA",5.5,14,"NA","NA","NA","NA",,"Wood","NA",0.772,7.8,1,-43.63,172.5,0.134,1.143,0.143,0
"Taghizadeh-Toosi et al, (2011)(b)","Ryegrass","grass","Biomass",,30,"NA",5.5,14,"NA","NA","NA","NA",,"Wood","NA",0.772,7.8,1,-43.63,172.5,0.196,1.216,0.216,0
"Uzoma et al. (2011)","Maize","cereal","Biomass (total)",5.5,10,60,6.36,0.71,"NA",0.95,0.013,0.037,"Light","Manure",500,0.0361,9.2,1,35.5,134.25,0.022,1.023,0.023,1
"Uzoma et al. (2011)","Maize","cereal","Grain",5.5,10,60,6.36,0.71,"NA",0.95,0.013,0.037,"Light","Manure",500,0.0361,9.2,1,35.5,134.25,0.075,1.078,0.078,1
"Uzoma et al. (2011)","Maize","cereal","Biomass (total)",5.5,20,60,6.36,0.71,"NA",0.95,0.013,0.037,"Light","Manure",500,0.0361,9.2,1,35.5,134.25,0.562,1.754,0.754,1
"Uzoma et al. (2011)","Maize","cereal","Grain",5.5,20,60,6.36,0.71,"NA",0.95,0.013,0.037,"Light","Manure",500,0.0361,9.2,1,35.5,134.25,0.684,1.983,0.983,1
"Uzoma et al. (2011)","Maize","cereal","Biomass (total)",5.5,15,60,6.36,0.71,"NA",0.95,0.013,0.037,"Light","Manure",500,0.0361,9.2,1,35.5,134.25,0.754,2.126,1.126,1
"Uzoma et al. (2011)","Maize","cereal","Grain",5.5,15,60,6.36,0.71,"NA",0.95,0.013,0.037,"Light","Manure",500,0.0361,9.2,1,35.5,134.25,0.917,2.502,1.502,1
