"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"US",0,0.02,TRUE,TRUE,50,"BECCS",-2028.64709860297,-120.391099780174,-268.239128119808,1964.46151292609,199.98946647775,53.9483651702426,2.69741825851213,130.058419971662,212.346355399155,2.03245820596927,0,1.3743344328,72.7907453258409,NA,264.93269623508,170.316524853688,1.28311755427353,87.0642426318861
"China",0,0.02,TRUE,TRUE,50,"BECCS",-9492.92826183007,-66.9598629042219,-330.63094697904,4093.59770174552,117.182354530696,53.9483651702426,2.69741825851213,57.577353179606,371.690041398039,2.10549006739188,0,1.3743344328,44.1978909507134,NA,352.913917319907,176.704519559042,1.32922352739386,87.0642426318861
"Europe",0,0.02,TRUE,TRUE,50,"BECCS",-5038.19897611309,-46.9778953460052,-264.139923049234,2508.39519720034,105.932243283908,53.9483651702426,2.69741825851213,80.9058364925947,261.185162787582,1.71868377490976,0,1.3743344328,83.2954157792401,NA,270.963625451339,201.132700001472,1.08502763567536,87.0642426318861
"India",0,0.02,TRUE,TRUE,50,"BECCS",-8523.40521452856,-63.4173973017341,-222.83597675271,6858.22050563633,98.6717286943114,53.9483651702426,2.69741825851213,66.1403158005203,555.926790355459,2.37571723135745,0,1.3743344328,52.8054735456937,NA,463.624845363843,116.692163496292,1.49982148444283,87.0642426318861
"US",50,0.02,TRUE,TRUE,50,"BECCS",-1941.95737774301,-15.3225947932259,-166.713477909706,1964.46151292609,199.98946647775,53.9483651702426,2.69741825851213,130.058419971662,212.346355399155,2.03245820596927,101.622910298463,1.3743344328,72.7907453258409,NA,264.93269623508,170.316524853688,1.28311755427353,87.0642426318861
"China",50,0.02,TRUE,TRUE,50,"BECCS",-9387.91010304845,38.7400852002491,-225.356443609447,4093.59770174552,117.182354530696,53.9483651702426,2.69741825851213,57.577353179606,371.690041398039,2.10549006739188,105.274503369593,1.3743344328,44.1978909507134,NA,352.913917319907,176.704519559042,1.32922352739386,87.0642426318861
"Europe",50,0.02,TRUE,TRUE,50,"BECCS",-4958.9829310696,34.6670468894162,-178.20573430375,2508.39519720034,105.932243283908,53.9483651702426,2.69741825851213,80.9058364925947,261.185162787582,1.71868377490976,85.9341887454875,1.3743344328,83.2954157792401,NA,270.963625451339,201.132700001472,1.08502763567536,87.0642426318861
"India",50,0.02,TRUE,TRUE,50,"BECCS",-8404.77038161021,55.4494213112586,-104.050115184838,6858.22050563633,98.6717286943114,53.9483651702426,2.69741825851213,66.1403158005203,555.926790355459,2.37571723135745,118.785861567872,1.3743344328,52.8054735456937,NA,463.624845363843,116.692163496292,1.49982148444283,87.0642426318861
"US",100,0.02,TRUE,TRUE,50,"BECCS",-1855.26765688305,113.782009994243,-65.1878276996054,1964.46151292609,199.98946647775,53.9483651702426,2.69741825851213,130.058419971662,212.346355399155,2.03245820596927,203.245820596926,1.3743344328,72.7907453258409,NA,264.93269623508,170.316524853688,1.28311755427353,87.0642426318861
"China",100,0.02,TRUE,TRUE,50,"BECCS",-9282.89194426683,144.44003330472,-120.081940239852,4093.59770174552,117.182354530696,53.9483651702426,2.69741825851213,57.577353179606,371.690041398039,2.10549006739188,210.549006739187,1.3743344328,44.1978909507134,NA,352.913917319907,176.704519559042,1.32922352739386,87.0642426318861
