"region","c_price","discount_rate","allow_eor","early_adoption","plant_mw_th","technology","area_best_km2","area_viable_km2","biomass_processed_yr_mg","npv_min","npv_max","npv_mean","mean_co2_transport_distance_km","mean_biomass_transport_distance_km","mean_capital_cost_mg","mean_om_cost_mg","mean_biomass_cost_mg","mean_co2_transport_cost_mg","mean_net_cdr","mean_carbon_removal_revenue_mg","mean_electricity_production_mwh","mean_electricity_revenue_mg","mean_agronomic_revenue_mg","mean_lcoe_usd_mwh","mean_cost_of_co2_avoided","mean_abatement_efficiency","mean_total_capex_m"
"Europe",0,0.08,FALSE,FALSE,250,"BES",4712753.04850539,60443.4147880121,2570598.81697642,-140.259353778612,4.37672502054652,-45.37047541143,NA,94.8873465023941,52.1253774989087,2.50201811994762,79.2491019753589,0,0.163525135681225,0,1.472501178,88.5060221827986,NA,90.9177524571162,Inf,0,211.424031218349
"Europe",0,0.08,FALSE,FALSE,250,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,66.2237383946958,3.31118691973479,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,268.607929679724
"Europe",0,0.08,FALSE,FALSE,250,"BEBCS",NA,NA,NA,NA,NA,NA,NA,NA,81.1633784450883,19.1521486030496,NA,0,NA,NA,0.75264329023612,NA,NA,NA,NA,NA,358.74274277852
"India",0,0.08,FALSE,FALSE,250,"BES",2888274.50217755,NA,NA,-125.629295129759,-20.0272573918022,-45.024642710517,NA,47.6033548266135,52.1253774989087,2.50201811994762,48.685569492132,0,0.846120492465787,0,1.472501178,58.2883224004677,NA,70.1615500581888,122.13155634739,0,211.424031218349
"India",0,0.08,FALSE,FALSE,250,"BECCS",NA,NA,NA,NA,NA,NA,NA,NA,66.2237383946958,3.31118691973479,NA,NA,NA,NA,1.3743344328,NA,NA,NA,NA,NA,268.607929679724
"India",0,0.08,FALSE,FALSE,250,"BEBCS",21284.6691490906,NA,NA,-84.4182430089022,-75.8596474095302,-80.7102380172848,NA,125.9925917156,81.1633784450883,19.1521486030496,86.29888875734,0,1.04099747019692,0,0.75264329023612,29.4848983876542,76.419279400539,146.410840081187,179.266941245226,2.00700152001102,358.74274277852
"US",50,0.08,FALSE,FALSE,250,"BES",3111727.02154403,NA,NA,-148.199691362731,-35.0878695966587,-91.8566858520026,NA,230.295492424436,52.1253774989087,2.50201811994762,134.604323863666,0,0.506886023425469,25.3443011712734,1.472501178,72.030732459245,NA,128.510402782525,438.304175193225,0,211.424031218349
"US",50,0.08,FALSE,FALSE,250,"BECCS",637118.504962557,NA,NA,-116.768212464744,-31.5777634269005,-68.0844074721744,233.7169668135,172.675089532881,66.2237383946958,3.31118691973479,125.961263429932,46.048256147374,2.1109743417515,105.548717087575,1.3743344328,67.911320331988,NA,175.753760603688,115.181563354547,1.33268582181281,268.607929679724
"US",50,0.08,FALSE,FALSE,250,"BEBCS",364595.855270094,NA,NA,-123.295416775832,-65.2763869800344,-97.4618460373462,NA,272.284087383195,81.1633784450883,19.1521486030496,140.902613107479,0,0.905922599353245,45.2961299676623,0.75264329023612,35.7503569439742,62.7098072066344,237.175213364329,267.815378264748,1.55945106195608,358.74274277852
"China",50,0.08,FALSE,FALSE,250,"BES",4433692.0426696,NA,NA,-103.736138225618,-5.2545482300785,-28.7024591618109,NA,65.11562866569,52.1253774989087,2.50201811994762,49.7673442998533,0,0.562236951688824,28.111847584441,1.472501178,47.5804331724687,NA,70.8962012923489,185.825922839244,0,211.424031218349
"China",50,0.08,FALSE,FALSE,250,"BECCS",228409.865634769,108995.190401057,13046647.8843985,-21.4901423471069,23.6900528187721,0.281457776267015,230.786691113385,28.5699529222575,66.2237383946958,3.31118691973479,44.2854929383387,45.8043213618323,2.11197495162614,105.598747581307,1.3743344328,54.3074498095623,NA,116.146940515338,75.5812094640831,1.333317519966,268.607929679724
"China",50,0.08,FALSE,FALSE,250,"BEBCS",364480.603057138,NA,NA,-98.0532369438235,-5.77221171201933,-41.7587478905548,NA,115.634063726849,81.1633784450883,19.1521486030496,57.3451095590275,0,0.9982793102556,49.9139655127801,0.75264329023612,18.8169528430195,47.1709703608112,146.802167347684,158.026688448461,1.61584730733609,358.74274277852
"Europe",50,0.08,FALSE,FALSE,250,"BES",4327189.4623229,240551.045743415,5907610.56411693,-140.960929774957,31.4641176816143,-37.9237942142119,NA,98.7032357177493,52.1253774989087,2.50201811994762,79.8214853576603,0,0.174478520231074,8.72392601155368,1.472501178,87.8011607507549,NA,91.3064675161295,Inf,0,211.424031218349
"Europe",50,0.08,FALSE,FALSE,250,"BECCS",370605.479130832,67548.7715981539,2537750.46283032,-63.6555767124873,18.3114620656987,-16.4835141670781,236.751171448634,51.2949939426048,66.2237383946958,3.31118691973479,72.7102490913912,46.2982659881636,1.62452748204532,81.2263741022663,1.3743344328,90.833552124637,NA,137.188908241101,116.064117493104,1.02558553159427,268.607929679724
